,기업명,채용공고,경력,위치
177,스트리미(Streami),가상자산거래소 월렛팀 엔지니어,경력 3-7년,서울 강남구
178,오나인솔루션즈코리아,Technical Consultant,경력 10-15년,서울 강남구
179,11시11분,광고 플랫폼 개발자(팀 리더급),경력 10-15년,서울 강남구
180,의식주컴퍼니(런드리고),[100억↑투자] 머신러닝 엔지니어(2년이상),경력 2-10년,서울 용산구
181,케이티넥스알(KTNexR),Data Architect (DA) (Data Ops팀),경력 1-4년,서울 송파구
182,쏘카(SOCAR),Technical Project Manager (Data),경력 2-10년,서울 성동구
183,니어스랩,소프트웨어 엔지니어(로보틱스 퍼셉션),경력 2-10년,서울 송파구
184,래딕스글로비즈,[UNLOCK] 하이브리드 APP 개발 (3년 이상),경력 3-10년,서울 마포구
185,한국에프앤비파트너스,Front-end Engineer,경력 2-5년,서울 성동구
186,어니컴,Javascript Library 개발 - Web Agent Engineer,경력 4-10년,서울 용산구
187,더스윙,[SWING] DevOps Engineer,경력 5-10년,서울 용산구
188,라온피플,Senior Front-end Engineer,경력 7-10년,경기 과천시
189,대홍기획,백엔드 개발자 (DB개발),경력 4-10년,서울 중구
190,인딥에이아이,Back-end Engineer,경력 5-8년,서울 강남구
191,파수,딥러닝 개발,경력 3-10년,서울 마포구
192,씨어스테크놀로지,의료기기 알고리즘 개발자,경력 3-5년,경기 성남시
193,폴라리스에이아이,사업수행팀 프로젝트 모바일 프론트엔드 개발,경력 4-8년,서울 서초구
194,래피드글로벌,프론트엔드 개발자 (React) (6년 이상),경력 5-10년,서울 강남구
195,스퀘어스,[스마트로그] 부정방지클릭 솔루션 백엔드 엔지니어 (5년 이상),경력 5-8년,서울 중구
196,에이블랩스,로봇 제어 소프트웨어 개발자,경력 3-10년,인천 연수구
197,테이블매니저,Senior Back-end 개발자(Node.js) (5년 이상),경력 3-10년,서울 강남구
198,데이터라이즈,[100억↑투자] Data Engineer,경력 2-10년,서울 강남구
199,웨이커,AI NLP 엔지니어(RAG 최적화),경력 3-10년,서울 강남구
200,비주얼신,웹/서버 개발관리자(10년 내외),경력 8-12년,서울 강남구
201,겟차,프론트엔드 챕터 리더(앱 개발),경력 7-20년,서울 강남구
202,펜타시큐리티,인증보안 제품 백엔드 개발자,경력 5-10년,서울 영등포구
203,미니레코드,인공지능 음성 합성(TTS) 전문가,경력 1-5년,서울 송파구
